Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Status
228196481,Pucking Strong (Jacksonville Rays #4),Emily Rath,1962350053,9781962350051,3,4.49,Emily Rath Books,Kindle Edition,678,2025,2025,9/20/25,7/2/25,read
203194093,Not in My Book,Katie  Holt,1639109765,9781639109760,3,3.8,Alcove Press,Kindle Edition,320,2024,2024,9/16/25,9/16/25,read
238713934,Love & Other Killers,Brynne Weaver,1662535899,9781662535895,4,4.09,Amazon Original Stories,Kindle Edition,61,2025,,9/14/25,8/18/25,read
228013651,Wild Card,Elsie Silver,,,4,4.23,Elsie Silver Literary Inc.,Kindle Edition,390,2025,2025,9/14/25,5/27/25,read
197054431,"Magnolia Parks: Into the Dark (Magnolia Parks Universe, #5)",Jessa Hastings,0593474953,9780593474952,5,4.34,Dutton,Kindle Edition,720,2024,2024,9/13/25,9/13/25,read
168437603,"Daisy Haites: The Great Undoing (The Magnolia Parks Universe, #4)",Jessa Hastings,0593474937,9780593474938,5,4.46,Dutton,Kindle Edition,489,2022,2022,9/9/25,9/9/25,read
223394307,"The Good Girl Effect (Salacious Legacy, #1)",Sara Cate,1464234469,9781464234460,0,4.2,Sourcebooks Casablanca,Paperback,371,2025,,,9/7/25,to-read
61447046,"Magnolia Parks: The Long Way Home (Magnolia Parks Universe, #3)",Jessa Hastings,,9798985331738,5,4.24,,Kindle Edition,645,2022,2022,9/9/25,9/7/25,read
168437435,Daisy Haites (The Magnolia Parks Universe Book 2),Jessa Hastings,0593474899,9780593474891,5,4.07,Dutton,Kindle Edition,507,2021,2021,9/6/25,9/3/25,read
168437483,"Magnolia Parks (The Magnolia Parks Universe, #1)",Jessa Hastings,0593474872,9780593474877,5,3.67,Dutton,Kindle Edition,442,2021,2021,9/2/25,9/2/25,read
222395340,For Wrath and Redemption (The Hometown Heartless),Brit Benson,,,3,4.48,Brit Benson Books,Kindle Edition,461,2025,,9/1/25,9/1/25,read
211400175,The Favorites,Layne Fargo,0593732057,9780593732052,0,4.08,Random House,Kindle Edition,439,2025,2025,,6/7/25,to-read
58367840,"Love You Better (Better Love, #1)",Brit Benson,,,0,3.83,Brit Benson Books,Kindle Edition,312,2021,2021,,8/28/25,to-read
216803399,"Of Heartbreak and Harmony (The Hometown Heartless, #2)",Brit Benson,,,4,4.28,Brit Benson Books,Kindle Edition,480,2024,,8/31/25,8/31/25,read
139402719,"Between Never and Forever (The Hometown Heartless, #1)",Brit Benson,,,4,4.22,Brit Benson Books,Kindle Edition,484,2023,2023,8/29/25,8/28/25,read
217218373,Say You'll Remember Me,Abby Jimenez,1538759209,9781538759202,4,4.03,Forever,Kindle Edition,361,2025,2025,8/28/25,2/7/25,read
